,balanced,balanced_diabetes,endurance_recovery,gentle_recovery,low_sodium_control,low_sodium_sleep_support,sleep_support,vegan_energy,vegetarian_active,vegetarian_balance,vegetarian_sleep_support,weight_management
balanced,12,0,0,0,0,0,1,0,0,0,0,0
balanced_diabetes,0,13,0,0,0,0,1,0,0,0,0,0
endurance_recovery,1,0,10,0,0,0,1,0,0,0,0,0
gentle_recovery,0,0,0,10,0,0,0,0,0,0,0,0
low_sodium_control,0,0,0,0,6,0,0,0,0,0,0,0
low_sodium_sleep_support,0,0,0,0,0,7,0,0,0,0,0,0
sleep_support,0,0,0,0,0,0,8,0,0,0,0,0
vegan_energy,0,0,0,0,0,0,0,14,0,0,0,0
vegetarian_active,0,0,0,0,0,0,0,0,11,0,0,0
vegetarian_balance,0,0,0,0,0,0,0,0,0,3,2,0
vegetarian_sleep_support,0,0,0,0,0,0,0,0,0,1,3,0
weight_management,0,0,0,0,0,0,0,0,0,0,0,11
